Date,Away,Home,pt_spread
1/31/2026,Pitt,Clemson,
1/31/2026,Duke,Virginia Tech,
1/31/2026,Virginia,Boston College,
2/2/2026,Syracuse,North Carolina,
2/3/2026,Boston College,Duke,
2/3/2026,NC State,SMU,
2/3/2026,Pitt,Virginia,
2/4/2026,Notre Dame,Louisville,
2/4/2026,Georgia Tech,California,
2/4/2026,Clemson,Stanford,
2/7/2026,Syracuse,Virginia,
2/7/2026,Louisville,Wake Forest,
2/7/2026,Virginia Tech,NC State,
2/7/2026,Miami,Boston College,
2/7/2026,SMU,Pitt,
2/7/2026,Florida State,Notre Dame,
2/7/2026,Duke,North Carolina,
2/7/2026,Clemson,California,
2/7/2026,Georgia Tech,Stanford,
2/9/2026,NC State,Louisville,
2/10/2026,Virginia,Florida State,
2/10/2026,North Carolina,Miami,
2/10/2026,Notre Dame,SMU,
2/10/2026,Duke,Pitt,
2/11/2026,Virginia Tech,Clemson,
2/11/2026,California,Syracuse,
2/11/2026,Stanford,Boston College,
2/11/2026,Wake Forest,Georgia Tech,
2/14/2026,Clemson,Duke,
2/14/2026,Georgia Tech,Notre Dame,
2/14/2026,California,Boston College,
2/14/2026,Florida State,Virginia Tech,
2/14/2026,Pitt,North Carolina,
2/14/2026,SMU,Syracuse,
2/14/2026,Miami,NC State,
2/14/2026,Stanford,Wake Forest,
2/14/2026,Baylor,Louisville,
2/14/2026,Ohio State,Virginia,
2/16/2026,Syracuse,Duke,
2/17/2026,Boston College,Florida State,
2/17/2026,North Carolina,NC State,
2/17/2026,Louisville,SMU,
2/17/2026,Virginia Tech,Miami,
2/18/2026,Clemson,Wake Forest,
2/18/2026,Virginia,Georgia Tech,
2/21/2026,Wake Forest,Virginia Tech,
2/21/2026,Florida State,Clemson,
2/21/2026,North Carolina,Syracuse,
2/21/2026,Notre Dame,Pitt,
2/21/2026,Miami,Virginia,
2/21/2026,Georgia Tech,Louisville,
2/21/2026,Boston College,SMU,
2/21/2026,Stanford,California,
2/21/2026,Michigan,Duke,
2/23/2026,Louisville,North Carolina,
2/24/2026,Duke,Notre Dame,
2/24/2026,Wake Forest,Boston College,
2/24/2026,NC State,Virginia,
2/24/2026,Miami,Florida State,
2/25/2026,Pitt,Stanford,
2/25/2026,SMU,California,
2/28/2026,Virginia,Duke,
2/28/2026,Florida State,Georgia Tech,
2/28/2026,NC State,Notre Dame,
2/28/2026,Boston College,Miami,
2/28/2026,Pitt,California,
2/28/2026,Syracuse,Wake Forest,
2/28/2026,SMU,Stanford,
2/28/2026,Louisville,Clemson,
2/28/2026,Virginia Tech,North Carolina,
3/2/2026,Duke,NC State,
3/3/2026,Wake Forest,Virginia,
3/3/2026,Clemson,North Carolina,
3/3/2026,Syracuse,Louisville,
3/3/2026,Boston College,Virginia Tech,
3/4/2026,California,Georgia Tech,
3/4/2026,Miami,SMU,
3/4/2026,Stanford,Notre Dame,
3/4/2026,Florida State,Pitt,
3/7/2026,Notre Dame,Boston College,
3/7/2026,Georgia Tech,Clemson,
3/7/2026,Virginia Tech,Virginia,
3/7/2026,SMU,Florida State,
3/7/2026,Louisville,Miami,
3/7/2026,Stanford,NC State,
3/7/2026,California,Wake Forest,
3/7/2026,Pitt,Syracuse,
3/7/2026,North Carolina,Duke,
